matchID,plid,team
ODI no. 2952,51880,West Indies
ODI no. 2952,52445,West Indies
ODI no. 2952,51660,West Indies
ODI no. 2952,53116,West Indies
ODI no. 2952,51659,West Indies
ODI no. 2952,52917,West Indies
ODI no. 2952,230559,West Indies
ODI no. 2952,53118,West Indies
ODI no. 2952,52622,West Indies
ODI no. 2952,52912,West Indies
ODI no. 2952,230553,West Indies
ODI no. 2952,8180,Australia
ODI no. 2952,6683,Australia
ODI no. 2952,7133,Australia
ODI no. 2952,4578,Australia
ODI no. 2952,5939,Australia
ODI no. 2952,8291,Australia
ODI no. 2952,5560,Australia
ODI no. 2952,6033,Australia
ODI no. 2952,5593,Australia
ODI no. 2952,4508,Australia
ODI no. 2952,6903,Australia
ODI no. 2908,55608,Zimbabwe
ODI no. 2908,55822,Zimbabwe
ODI no. 2908,55329,Zimbabwe
ODI no. 2908,55343,Zimbabwe
ODI no. 2908,55814,Zimbabwe
ODI no. 2908,55870,Zimbabwe
ODI no. 2908,55612,Zimbabwe
ODI no. 2908,55820,Zimbabwe
ODI no. 2908,55698,Zimbabwe
ODI no. 2908,332996,Zimbabwe
ODI no. 2908,55346,Zimbabwe
ODI no. 2908,24760,Kenya
ODI no. 2908,267455,Kenya
ODI no. 2908,291844,Kenya
ODI no. 2908,24728,Kenya
ODI no. 2908,24750,Kenya
ODI no. 2908,24752,Kenya
ODI no. 2908,24697,Kenya
ODI no. 2908,238612,Kenya
ODI no. 2908,24762,Kenya
ODI no. 2908,24711,Kenya
ODI no. 2908,293031,Kenya
ODI no. 2913,8180,Australia
ODI no. 2913,7252,Australia
ODI no. 2913,7133,Australia
ODI no. 2913,8291,Australia
ODI no. 2913,5939,Australia
ODI no. 2913,8119,Australia
ODI no. 2913,5702,Australia
ODI no. 2913,6033,Australia
ODI no. 2913,6278,Australia
ODI no. 2913,5593,Australia
ODI no. 2913,7898,Australia
ODI no. 2913,35263,India
ODI no. 2913,35320,India
ODI no. 2913,28763,India
ODI no. 2913,253802,India
ODI no. 2913,28081,India
ODI no. 2913,33335,India
ODI no. 2913,234675,India
ODI no. 2913,29264,India
ODI no. 2913,30732,India
ODI no. 2913,31820,India
ODI no. 2913,236779,India
ODI no. 2914,56194,Bangladesh
ODI no. 2914,55946,Bangladesh
ODI no. 2914,55988,Bangladesh
ODI no. 2914,56093,Bangladesh
ODI no. 2914,56143,Bangladesh
ODI no. 2914,56029,Bangladesh
ODI no. 2914,56025,Bangladesh
ODI no. 2914,56054,Bangladesh
ODI no. 2914,56283,Bangladesh
ODI no. 2914,56209,Bangladesh
ODI no. 2914,300619,Bangladesh
ODI no. 2914,55608,Zimbabwe
ODI no. 2914,55354,Zimbabwe
ODI no. 2914,55814,Zimbabwe
ODI no. 2914,55805,Zimbabwe
ODI no. 2914,55329,Zimbabwe
ODI no. 2914,55612,Zimbabwe
ODI no. 2914,55343,Zimbabwe
ODI no. 2914,55820,Zimbabwe
ODI no. 2914,55346,Zimbabwe
ODI no. 2914,55698,Zimbabwe
ODI no. 2914,332996,Zimbabwe
ODI no. 2697,50747,Sri Lanka
ODI no. 2697,50802,Sri Lanka
ODI no. 2697,50710,Sri Lanka
ODI no. 2697,49289,Sri Lanka
ODI no. 2697,50431,Sri Lanka
ODI no. 2697,48472,Sri Lanka
ODI no. 2697,209457,Sri Lanka
ODI no. 2697,50804,Sri Lanka
ODI no. 2697,49535,Sri Lanka
ODI no. 2697,268739,Sri Lanka
ODI no. 2697,48139,Sri Lanka
ODI no. 2697,51880,West Indies
ODI no. 2697,52962,West Indies
ODI no. 2697,52969,West Indies
ODI no. 2697,52983,West Indies
ODI no. 2697,51469,West Indies
ODI no. 2697,51439,West Indies
ODI no. 2697,51437,West Indies
ODI no. 2697,53115,West Indies
ODI no. 2697,53191,West Indies
ODI no. 2697,51248,West Indies
ODI no. 2697,51782,West Indies
ODI no. 2696,42683,Pakistan
ODI no. 2696,42321,Pakistan
ODI no. 2696,43652,Pakistan
ODI no. 2696,43650,Pakistan
ODI no. 2696,42657,Pakistan
ODI no. 2696,41378,Pakistan
ODI no. 2696,42639,Pakistan
ODI no. 2696,41028,Pakistan
ODI no. 2696,43265,Pakistan
ODI no. 2696,43524,Pakistan
ODI no. 2696,40591,Pakistan
ODI no. 2696,56194,Bangladesh
ODI no. 2696,56153,Bangladesh
ODI no. 2696,56266,Bangladesh
ODI no. 2696,55988,Bangladesh
ODI no. 2696,56093,Bangladesh
ODI no. 2696,56143,Bangladesh
ODI no. 2696,56025,Bangladesh
ODI no. 2696,55894,Bangladesh
ODI no. 2696,56208,Bangladesh
ODI no. 2696,56007,Bangladesh
