matchId,team,ptype,batStyle,bowStyle
ODI no. 2633,Pakistan,NA,Right-hand bat,Legbreak
ODI no. 2633,Pakistan,NA,Right-hand bat,Right-arm medium
ODI no. 2633,Pakistan,Wicketkeeper batsman,Right-hand bat,NA
ODI no. 2633,Pakistan,Middle-order batsman,Right-hand bat,Legbreak
ODI no. 2633,Pakistan,Allrounder,Right-hand bat,Right-arm offbreak
ODI no. 2633,Pakistan,Allrounder,Right-hand bat,Legbreak googly
ODI no. 2633,Pakistan,Middle-order batsman,Right-hand bat,Right-arm offbreak
ODI no. 2633,Pakistan,Bowler,Left-hand bat,Left-arm medium-fast
ODI no. 2633,Pakistan,Bowler,Right-hand bat,Right-arm fast-medium
ODI no. 2633,Pakistan,NA,Right-hand bat,Right-arm offbreak
ODI no. 2633,Pakistan,Middle-order batsman,Right-hand bat,"Right-arm medium, Legbreak"
ODI no. 2633,South Africa,Wicketkeeper batsman,Right-hand bat,Right-arm medium
ODI no. 2633,South Africa,Allrounder,Right-hand bat,Right-arm offbreak
ODI no. 2633,South Africa,Wicketkeeper batsman,Right-hand bat,Right-arm medium
ODI no. 2633,South Africa,NA,Right-hand bat,Right-arm bowler
ODI no. 2633,South Africa,Allrounder,Right-hand bat,Right-arm fast-medium
ODI no. 2633,South Africa,NA,Right-hand bat,Right-arm fast-medium
ODI no. 2633,South Africa,Bowler,Right-hand bat,Right-arm fast-medium
ODI no. 2633,South Africa,Bowling allrounder,Left-hand bat,Right-arm medium-fast
ODI no. 2633,South Africa,NA,Right-hand bat,Right-arm fast
ODI no. 2633,South Africa,Allrounder,Right-hand bat,Right-arm fast-medium
ODI no. 2633,South Africa,Opening batsman,Left-hand bat,Right-arm offbreak
ODI no. 2638,Bermuda,Opening batsman,Left-hand bat,Right-arm medium
ODI no. 2638,Bermuda,Allrounder,Right-hand bat,Right-arm medium
ODI no. 2638,Bermuda,NA,Right-hand bat,Right-arm fast
ODI no. 2638,Bermuda,Allrounder,Right-hand bat,Right-arm medium
ODI no. 2638,Bermuda,Batsman,Left-hand bat,Right-arm offbreak
ODI no. 2638,Bermuda,Batsman,Right-hand bat,Right-arm offbreak
ODI no. 2638,Bermuda,Bowler,Right-hand bat,Slow left-arm orthodox
ODI no. 2638,Bermuda,Batsman,Right-hand bat,NA
ODI no. 2638,Kenya,Bowler,Right-hand bat,Right-arm offbreak
ODI no. 2638,Kenya,NA,Right-hand bat,Right-arm medium-fast
ODI no. 2638,Kenya,NA,Right-hand bat,Right-arm medium
ODI no. 2638,Kenya,Allrounder,Right-hand bat,Right-arm offbreak
ODI no. 2638,Kenya,Wicketkeeper batsman,Right-hand bat,Right-arm offbreak
ODI no. 2638,Kenya,Allrounder,Right-hand bat,Legbreak
ODI no. 2638,Kenya,Top-order batsman,Right-hand bat,NA
ODI no. 2638,Kenya,Bowler,Right-hand bat,Right-arm fast-medium
ODI no. 2638,Bermuda,Batsman,Right-hand bat,Right-arm slow-medium
ODI no. 2638,Kenya,Bowler,Right-hand bat,Right-arm medium-fast
ODI no. 2638,Kenya,Bowler,Right-hand bat,Slow left-arm orthodox
ODI no. 2638,Bermuda,Allrounder,Right-hand bat,Right-arm medium-fast
ODI no. 2638,Bermuda,Bowler,Right-hand bat,Right-arm offbreak
ODI no. 2638,Kenya,Opening batsman,Right-hand bat,Right-arm medium-fast
ODI no. 2674,England,Bowler,Left-hand bat,Right-arm fast-medium
ODI no. 2674,England,Top-order batsman,Right-hand bat,Right-arm medium
ODI no. 2674,England,Middle-order batsman,Right-hand bat,Right-arm medium
ODI no. 2674,England,Bowler,Left-hand bat,Right-arm fast-medium
ODI no. 2674,England,Allrounder,Right-hand bat,Right-arm medium
ODI no. 2674,England,Opening batsman,Left-hand bat,Right-arm slow
ODI no. 2674,England,Wicketkeeper batsman,Left-hand bat,Legbreak
ODI no. 2674,England,Top-order batsman,Right-hand bat,Right-arm offbreak
ODI no. 2674,England,Batsman,Right-hand bat,Right-arm offbreak
ODI no. 2674,England,NA,Left-hand bat,Left-arm fast-medium
ODI no. 2674,England,Bowler,Right-hand bat,Right-arm offbreak
ODI no. 2674,New Zealand,NA,Right-hand bat,Right-arm medium
ODI no. 2674,New Zealand,Top-order batsman,Right-hand bat,"Right-arm medium, Right-arm offbreak"
ODI no. 2674,New Zealand,Bowler,Right-hand bat,Right-arm fast-medium
ODI no. 2674,New Zealand,Wicketkeeper batsman,Right-hand bat,"Right-arm medium, Right-arm offbreak"
ODI no. 2674,New Zealand,Bowler,Right-hand bat,Right-arm fast-medium
ODI no. 2674,New Zealand,Allrounder,Left-hand bat,Right-arm fast-medium
ODI no. 2674,New Zealand,NA,Right-hand bat,Right-arm offbreak
ODI no. 2674,New Zealand,Allrounder,Left-hand bat,Right-arm medium
ODI no. 2674,New Zealand,Allrounder,Right-hand bat,Right-arm medium
ODI no. 2674,New Zealand,Middle-order batsman,Right-hand bat,Right-arm offbreak
ODI no. 2674,New Zealand,Allrounder,Left-hand bat,Slow left-arm orthodox
ODI no. 2690,South Africa,Top-order batsman,Right-hand bat,"Right-arm medium, Right-arm offbreak"
ODI no. 2690,South Africa,Allrounder,Right-hand bat,Right-arm offbreak
ODI no. 2690,South Africa,Batting allrounder,Left-hand bat,Right-arm offbreak
ODI no. 2690,South Africa,Wicketkeeper batsman,Right-hand bat,Right-arm medium
ODI no. 2690,South Africa,NA,Right-hand bat,Right-arm bowler
ODI no. 2690,South Africa,Bowler,Right-hand bat,Slow left-arm orthodox
ODI no. 2690,South Africa,Bowler,Right-hand bat,Right-arm fast-medium
ODI no. 2690,South Africa,Bowling allrounder,Left-hand bat,Right-arm medium-fast
ODI no. 2690,South Africa,NA,Right-hand bat,Right-arm fast-medium
